Customer/Location,Micro market,Total
The Westin Long Beach,The Westin Long Beach,"56,363.48"
Hilton Garden Inn-Home2 Suites Anaheim Resort,Hilton Garden Inn-Home2 Suites Anaheim Resort,"40,043.14"
Hotel Dena,Hotel Dena,"37,986.73"
The Westin Pasadena,The Westin Pasadena,"36,820.29"
Crowne Plaza Los Angeles Harbor Hotel,Crowne Plaza San Pedro,"34,220.27"
Long Beach Convention & Entertainment Center,Long Beach Convention Center Promenade,"34,074.42"
Hyatt Regency Los Angeles International Airport ,Hyatt Regency Los Angeles International Airport,"33,932.79"
"Holiday Inn & Suites Anaheim, an IHG Hotel",Holiday Inn & Suites Anaheim,"33,430.02"
Sandbourne Santa Monica - Autograph Collection,"Sandbourne Santa Monica, Autograph Collection","31,335.69"
Embassy Suites by Hilton Anaheim North,Embassy Suites by Hilton Anaheim North,"30,279.21"
Clarion Hotel Anaheim Resort,Clarion Hotel Market,"23,812.77"
Motel 6 Los Angeles - LAX,Motel 6 Los Angeles - LAX,"23,461.54"
Best Western Plus Stovall's Inn,Best Western Plus Stovall's Inn,"22,048.80"
Motel 6 Anaheim Maingate,Motel 6 Anaheim Maingate Market,"18,780.36"
E-Central Downtown Los Angeles Hotel,E-Central Downtown Los Angeles Hotel,"18,397.19"
Best Western Plus Park Place Inn Mini Suites,Best Western Plus Park Place Anaheim,"17,390.34"
Crowne Plaza Costa Mesa Orange County,Crowne Plaza Costa Mesa Orange County,"16,395.03"
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,"14,956.69"
Sheraton Gateway Los Angeles Hotel ,Sheraton Gateway Los Angeles Hotel,"14,740.62"
Desert Palms Hotel and Suites,Desert Palms Market,"14,675.11"
Hyatt Place Pasadena,Hyatt Place Pasadena,"14,600.53"
DoubleTree by Hilton Hotel Los Angeles - Rosemead,DoubleTree by Hilton Hotel Los Angeles - Rosemead,"13,603.15"
Crowne Plaza San Diego - Mission Valley,Crowne Plaza San Diego-Mission Valley,"13,094.44"
DoubleTree by Hilton Pomona,DoubleTree by Hilton Pomona,"11,740.21"
Holiday Inn Ontario Airport,Holiday Inn Ontario Airport Market,"11,656.01"
Holiday Inn Express & Suites Anaheim Resort Area,HIE - Manchester Market,"11,508.48"
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,"11,338.66"
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,"10,238.80"
Kings Inn Anaheim at The Park & Convention Center,Kings Inn Anaheim Market,"10,009.83"
Ayres Hotel & Spa Mission Viejo,Ayres Hotel and Spa Mission Viejo,"8,712.27"
Hyatt Place San Diego Vista-Carlsbad,Hyatt Place San Diego Vista-Carlsbad,"8,505.89"
"Best Western Plus Meridian Inn & Suites, Anaheim-Orange ",Best Western Plus Meridian Market,"8,263.23"
Holiday Inn Diamond Bar - Pomona,Holiday Inn Diamond Bar-Pomona,"8,258.99"
Del Sol Inn,Del Sol Inn Anaheim,"8,167.24"
Holiday Inn Santa Ana,Holiday Inn Santa Ana,"8,154.31"
Fairfield Inn & Suites & TownePlace Suites by Marriott Barstow,Fairfield Inn/TownePlace Suites Barstow,"7,951.79"
Club Wyndham Oceanside Pier Resort,Club Wyndham Oceanside Pier Resort,"7,859.56"
Motel 6 Carson,Motel 6 Carson,"7,652.13"
Holiday Inn Oxnard-Ventura,Holiday Inn Oxnard-Ventura,"7,451.78"
Miyako Hotel Los Angeles,Miyako LA Downtown Market,"7,436.88"
Ayres Suites Mission Viejo - Lake Forest,Ayres Suites Mission Viejo - Lake Forest,"7,336.32"
Homewood Suites by Hilton Cathedral City Palm Springs,Homewood Suites by Hilton Cathedral City,"7,253.70"
Embassy Suites by Hilton Palm Desert,Embassy Suites by Hilton Palm Desert,"7,213.06"
Ayres Hotel Seal Beach,Ayres Hotel Seal Beach,"7,211.22"
The Anza A Calabasas Hotel,The Anza A Calabasas Hotel,"6,762.11"
Residence Inn San Diego North San Marcos,Residence Inn San Diego North San Marcos,"6,677.86"
Ayres Suites Yorba Linda,Ayres Suites Yorba Linda,"6,677.70"
"Holiday Inn & Suites Monterey Park Los Angeles, an IHG Hotel",Holiday Inn Hotel & Suites Monterey Park,"6,618.71"
SpringHill Suites by Marriott Riverside Redlands,SpringHill Suites By Marriott Redlands,"6,580.91"
Ramada by Wyndham Burbank Airport,Ramada Inn Burbank Market,"6,330.42"
Holiday Inn El Monte,Holiday Inn El Monte,"6,191.41"
Ayres Hotel Fountain Valley ,Ayres Hotel Fountain Valley,"5,759.71"
The Hotel Amarano Burbank-Hollywood,The Hotel Amarano Burbank-Hollywood,"5,742.45"
Fairfield Inn & Suites by Marriott Moorpark Ventura County,FFI - Moorpark Market,"5,633.33"
Hyatt House Los Angeles-LAX-Manhattan Beach,Hyatt House Los Angeles-LAX-Manhattan Beach,"5,493.32"
WorldMark Mission Valley,WorldMark Mission Valley,"5,481.08"
Holiday Inn Express & Suites Corona ,Holiday Inn Express & Suites Corona,"5,450.26"
Fairfield Inn by Marriott - West Covina,Fairfield by Marriott West Covina,"5,312.42"
Miyako Hybrid Hotel,Miyako Torrance Market,"5,178.47"
Fairfield by Marriott Anaheim North - Buena Park,Fairfield by Marriott Anaheim North-Buena Park,"5,105.02"
Four Points by Sheraton Ventura Harbor Resort,Four Points Sheraton - Ventura,"4,993.70"
Ramada by Wyndham Anaheim Convention Center,Ramada Anaheim Convention Center,"4,821.86"
Best Western Plus Marina Shores Hotel,Best Western Plus Marina Shores Hotel,"4,795.91"
Staybridge Suites Oxnard River Ridge,Staybridge Suites Oxnard River Ridge,"4,746.71"
Holiday Inn Express & Suites Twentynine Palms- Joshua Tree,HIE - Twentynine Palms Market,"4,723.13"
Homewood Suites by Hilton Carlsbad ,Homewood Suites by Hilton Carlsbad,"4,718.03"
