Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
,,,,,,TOTAL,5,20.00,10.00,$10.00
Vistar,343,180 Snack Skinny Rice Bar Blueberry 0.56oz,,BILL/2026/0063,02/20/2026,bill,1,4.00,2.00,2.00
Vistar,343,180 Snack Skinny Rice Bar Blueberry 0.56oz,,BILL/2026/0064,02/20/2026,bill,1,4.00,2.00,2.00
Vistar,343,180 Snack Skinny Rice Bar Blueberry 0.56oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02483,02/20/2026,material_receipt,1,4.00,2.00,2.00
Vistar,343,180 Snack Skinny Rice Bar Blueberry 0.56oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02484,02/20/2026,material_receipt,1,4.00,2.00,2.00
Vistar,343,180 Snack Skinny Rice Bar Blueberry 0.56oz,,P02397,02/19/2026,purchase,1,4.00,2.00,2.00
,,,,,,TOTAL,6,26.85,10.05,$20.10
California Commissary,857310005078,Nightfood Midnight Chocolate Ice Cream,,BILL/2026/0065,02/20/2026,bill,2,8.95,3.35,6.70
California Commissary,857310005078,Nightfood Midnight Chocolate Ice Cream,,P02404,02/20/2026,purchase,2,8.95,3.35,6.70
California Commissary,857310005078,Nightfood Midnight Chocolate Ice Cream,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02485,02/20/2026,material_receipt,2,8.95,3.35,6.70
,,,,,,TOTAL,70,0.00,0.00,$0.00
,AVR00003,Pringles red,Ultraserv Main Warehouse Cerritos/Stock,124ws,02/20/2026,quantity_adjustment,30,0.00,0.00,0.00
Regency Inn,AVR00003,Pringles red,Ultraserv Automated Services Transit/Stock,Ultra/INT/469508,02/20/2026,store_order,20,0.00,0.00,0.00
Regency Inn,AVR00003,Pringles red,Ultraserv Automated Services Transit/Stock,Ultra/INT/469510,02/20/2026,store_order,20,0.00,0.00,0.00
,,,,,,TOTAL,2,295.30,209.96,$295.30
The Anza A Calabasas Hotel,AVR00110,LA Colombe 12oz Java Jacket - 1000ct,,INV/00137082,02/04/2026,direct_invoice,1,147.65,104.98,147.65
,AVR00110,LA Colombe 12oz Java Jacket - 1000ct,,PACK/04762,02/04/2026,pack_slip,1,147.65,104.98,147.65
,,,,,,TOTAL,26,17.50,4.06,$45.80
Vistar,AVR00115,Cocoa Bliss Hot Cocoa Mix,,P02403,02/19/2026,purchase,10,2.50,0.58,5.80
First Service Residential,AVR00115,Cocoa Bliss Hot Cocoa Mix,,INV/00137117,02/05/2026,direct_invoice,1,2.50,0.58,2.50
,AVR00115,Cocoa Bliss Hot Cocoa Mix,,PACK/04794,02/05/2026,pack_slip,1,2.50,0.58,2.50
Advantage Vending Services,AVR00115,Cocoa Bliss Hot Cocoa Mix,,INV/00137081,02/04/2026,direct_invoice,6,2.50,0.58,15.00
Corona Regional Medical Center,AVR00115,Cocoa Bliss Hot Cocoa Mix,,INV/00137089,02/04/2026,direct_invoice,1,2.50,0.58,2.50
,AVR00115,Cocoa Bliss Hot Cocoa Mix,,PACK/04761,02/04/2026,pack_slip,6,2.50,0.58,15.00
,AVR00115,Cocoa Bliss Hot Cocoa Mix,,PACK/04769,02/04/2026,pack_slip,1,2.50,0.58,2.50
,,,,,,TOTAL,393,138.75,33.25,"$1,021.88"
Vistar,AVR00140,Smartfood White Cheddar 1.75oz,,BILL/2026/0061,02/10/2026,bill,4,4.00,1.33,5.32
Vistar,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02436,02/10/2026,material_receipt,4,4.00,1.33,5.32
Vistar,AVR00140,Smartfood White Cheddar 1.75oz,,P02395,02/07/2026,purchase,96,4.00,1.33,127.68
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469301,02/06/2026,store_order,5,6.25,1.33,31.25
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469108,02/05/2026,store_order,6,6.25,1.33,37.50
The Westin Pasadena,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469109,02/05/2026,store_order,9,6.50,1.33,58.50
Hotel Dena,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469111,02/05/2026,store_order,12,5.75,1.33,69.00
The Westin Long Beach,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469113,02/05/2026,store_order,4,6.25,1.33,25.00
Embassy Suites by Hilton Anaheim North,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469124,02/05/2026,store_order,4,6.25,1.33,25.00
Hyatt Place Pasadena,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469176,02/05/2026,store_order,5,5.75,1.33,28.75
Vistar,AVR00140,Smartfood White Cheddar 1.75oz,,BILL/2026/0052,02/04/2026,bill,7,4.00,1.33,9.31
Vistar,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,7,4.00,1.33,9.31
SpringHill Suites by Marriott Riverside Redlands,AVR00140,Smartfood White Cheddar 1.75oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469008,02/04/2026,store_order,3,5.00,1.33,15.00
