,Customer/Location,Micromarket,Category,Product,Total Quantity,Max Quantity,Qty in %,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Cactus Cooler 12oz,17,21,80.95,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Canada Dry Ginger Ale 12oz,13,14,92.86,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Coke 12oz,3,21,14.29,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Coke Diet 12oz,0,21,0.00,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Coke Zero 12oz,20,21,95.24,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Dr Pepper 12oz,6,14,42.86,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,Sprite 12oz,12,14,85.71,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 20 Oz Bottle,Coke 20oz,17,21,80.95,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 20 Oz Bottle,Gatorade Cool Blue 20oz,21,21,100.00,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Coffee & Tea,Dunkin Donuts French Vanilla 13.7 oz,13,14,92.86,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Coffee & Tea,Peace Tea Georgia Peach,0,0,0.00,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Coffee & Tea,Peace Tea Georgia Peach 16oz,16,14,114.29,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Coffee & Tea,Starbucks Mocha Frappuccino RTD 9.5oz,15,16,93.75,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,Monster 16oz,11,14,78.57,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,Monster Low Carb 16oz,10,14,71.43,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,Red Bull 8.4oz,4,8,50.00,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,Red Bull Red Watermelon 8.4oz,7,8,87.50,
,Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,Red Bull Sugar Free 8.4oz,16,16,100.00,
