Product Code,Product Name,Category,Stock,Cost,Total Value,
PC00885,Coke 20oz,Bev 20 Oz Bottle,"12,137",$1.2753,"$15,478.32",
PC00886,Coke Diet 20oz,Bev 20 Oz Bottle,"30,995",$1.2746,"$39,506.23",
PC00887,Sprite 20oz,Bev 20 Oz Bottle,"35,190",$1.2750,"$44,867.25",
PC00888,Smart Water 20oz,Bev Water,"117,170",$1.2800,"$149,977.60",
PC00889,Snickers,Candy,"22,697",$0.4347,"$9,866.39",
PC10724,Aquafina 16.9oz,Bev Water,"68,654",$0.4566,"$31,347.42",
PC10725,Life Water Premium 20oz,Bev Water,"11,121",$1.3383,"$14,883.23",
PC10726,Smart Water 1L,Bev Water,"97,642",$1.7877,"$174,554.60",
PC10730,Chobani Blueberry,Fresh,"1,420",$1.4034,"$1,992.83",
PC10731,Chobani Cherry,Fresh,847,$0.8341,$706.48,
PC10732,Chobani Peach,Fresh,"1,220",$1.3936,"$1,700.19",
PC10733,Chobani Strawberry,Fresh,"1,565",$1.4104,"$2,207.28",
PC10744,FR SLB Pasta Salad Mike's Tuna Mac Small,Fresh Food,86,$4.3600,$374.96,
PC10751,FR SLB Triangle Club Wheat,Fresh Food,138,$2.6400,$364.32,
PC10761,Lunchables Ham & Cheddar,Fresh,"4,441",$2.0788,"$9,231.95",
PC10762,Lunchables Turkey & Cheddar,Fresh,"4,424",$2.0338,"$8,997.53",
PC10765,String Cheese Frigo,Fresh,"5,478",$0.2455,"$1,344.85",
PC10769,Bang Peach Mango,Bev Energy Drinks,"2,306",$1.9333,"$4,458.19",
PC10773,Beer Budweiser Aluminum Can 16oz,Bev Beer & Wine,-24,$0.0001,$0.00,
PC10788,Celsius Sparkling Orange 12oz,Bev Other,"6,231",$2.1395,"$13,331.22",
PC10789,Celsius Sparkling Watermelon 12oz,Bev Other,"9,270",$2.1398,"$19,835.95",
PC10790,Coke Zero 20oz,Bev 20 Oz Bottle,"21,843",$1.2748,"$27,845.46",
PC10793,Dr Pepper 20oz,Bev 20 Oz Bottle,"35,034",$1.2854,"$45,032.70",
PC10794,Dr Pepper Diet 20oz,Bev 20 Oz Bottle,"1,718",$1.2854,"$2,208.32",
PC10795,Dunkin Donuts Original 13.7oz,Bev Coffee & Tea,"1,154",$2.1172,"$2,443.25",
PC10796,Fanta Orange 20oz,Bev 20 Oz Bottle,"5,901",$1.2640,"$7,458.86",
PC10798,Gatorade Cool Blue 20oz,Bev 20 Oz Bottle,"29,194",$1.3415,"$39,163.75",
PC10799,Gatorade Orange 20oz,Bev 20 Oz Bottle,"7,720",$1.2440,"$9,603.68",
PC10800,Gatorade Zero Glacier Cherry 20oz,Bev 20 Oz Bottle,331,$1.1125,$368.24,
PC10801,La Croix Sparkling Coconut,Bev 12 Oz Can,739,$0.4696,$347.03,
PC10803,La Croix Sparkling Cran Raspberry,Bev 12 Oz Can,236,$0.4696,$110.83,
PC10804,La Croix Sparkling Grapefruit,Bev 12 Oz Can,413,$0.4696,$193.94,
PC10805,Minute Maid Apple Juice 12oz,Bev Juice,"10,913",$1.2474,"$13,612.88",
